MAZ,HH,ADLT,WRKR,KID
283,13,37,21,13
284,577,1039,427,395
285,0,0,0,0
286,643,1524,798,613
287,1396,2760,1302,1288
288,604,1327,554,270
289,79,187,85,54
290,972,1745,672,373
291,752,1517,744,296
292,0,0,0,0
293,566,1338,608,387
294,1053,2516,1117,824
295,163,387,196,147
296,99,235,107,71
297,0,0,0,0
298,617,1493,793,597
299,133,357,197,114
300,1278,3238,1726,1116
301,698,1791,986,574
302,1158,2935,1558,975
303,307,758,429,244
304,1091,2751,1399,956
305,480,1192,611,414
306,0,0,0,0
307,200,515,239,191
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,484,1123,570,300
315,0,0,0,0
316,0,0,0,0
317,0,0,0,0
318,0,0,0,0
319,0,0,0,0
320,0,0,0,0
321,0,0,0,0
322,0,0,0,0
323,62,133,64,28
324,664,1295,704,340
325,923,1964,914,388
326,401,784,421,201
327,567,1200,559,239
328,0,0,0,0
329,23,46,21,9
330,320,675,314,139
331,156,324,151,72
332,215,458,213,91
333,1897,5376,2742,1589
334,2024,4969,2853,1754
335,2344,6402,3483,2269
336,2113,5251,2858,2192
337,0,0,0,0
338,0,0,0,0
339,1548,3644,2321,1115
340,382,879,571,314
341,0,0,0,0
342,1,1,0,1
343,630,1837,958,428
344,358,1039,459,236
345,590,1238,510,182
346,965,2266,1428,474
347,922,2167,1359,453
348,1051,2124,1229,771
349,1087,2180,1305,812
350,999,2515,1279,754
351,459,1098,582,219
352,1236,2915,1682,909
353,1487,3793,2140,1527
354,645,1725,971,684
355,833,2029,1214,670
356,800,1946,1136,586
357,56,177,89,58
358,652,1639,914,472
359,1270,3990,2081,1338
360,1118,3422,1840,1017
361,854,2023,1087,781
362,0,0,0,0
363,1587,4302,2520,1580
364,1764,4896,2452,1759
365,1180,3271,1915,1094
366,1727,5048,2626,1831
367,1925,3916,1593,1322
368,2037,4870,2177,1489
369,1331,3774,1853,1493
370,1248,3428,2011,992
371,1492,4540,2446,1409
372,1265,3403,1793,1125
373,1164,3318,1709,1157
374,881,2587,1174,797
375,1415,3570,1955,1220
376,1212,3073,1697,809
377,0,0,0,0
378,0,0,0,0
379,0,0,0,0
380,0,0,0,0
381,925,2165,1329,601
382,974,2280,1399,635
383,1406,2919,1698,900
384,1041,2159,1254,665
385,1039,2407,1483,628
386,1076,2494,1517,650
387,1057,2384,1324,736
388,125,277,154,91
389,868,1771,1136,417
390,656,1344,872,310
391,712,1379,726,415
392,956,1853,987,557
393,441,1035,549,406
394,582,1367,725,531
395,1103,2664,1594,850
