geography,id,num_hh_control,adults_control,workers_control,children_control,whitenh_control,blacknh_control,asiannh_control,othernh_control,hispanic_control,hh_inc_1_control,hh_inc_2_control,hh_inc_3_control,hh_inc_4_control,hh_under_35_control,hh_35_64_control,hh_65_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_control,hh_size_5_control,hh_size_6_control,hh_size_7_control,bldg_type_1_control,bldg_type_2_control,bldg_type_3_control,bldg_type_4_control,bldg_type_5_control,bldg_type_6_control,bldg_type_7_control,bldg_type_8_control,bldg_type_9_control,bldg_type_10_control,num_hh_result,adults_result,workers_result,children_result,whitenh_result,blacknh_result,asiannh_result,othernh_result,hispanic_result,hh_inc_1_result,hh_inc_2_result,hh_inc_3_result,hh_inc_4_result,hh_under_35_result,hh_35_64_result,hh_65_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_result,hh_size_5_result,hh_size_6_result,hh_size_7_result,bldg_type_1_result,bldg_type_2_result,bldg_type_3_result,bldg_type_4_result,bldg_type_5_result,bldg_type_6_result,bldg_type_7_result,bldg_type_8_result,bldg_type_9_result,bldg_type_10_result,num_hh_diff,adults_diff,workers_diff,children_diff,whitenh_diff,blacknh_diff,asiannh_diff,othernh_diff,hispanic_diff,hh_inc_1_diff,hh_inc_2_diff,hh_inc_3_diff,hh_inc_4_diff,hh_under_35_diff,hh_35_64_diff,hh_65_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_diff,hh_size_5_diff,hh_size_6_diff,hh_size_7_diff,bldg_type_1_diff,bldg_type_2_diff,bldg_type_3_diff,bldg_type_4_diff,bldg_type_5_diff,bldg_type_6_diff,bldg_type_7_diff,bldg_type_8_diff,bldg_type_9_diff,bldg_type_10_diff
PUMA,3415,47885,98756,64719,24394,78392,2140,16199,2491,23928,7003,10081,11158,19643,7028,26980,13877,12012,16042,7751,7206,3167,1198,509,470,23718,4972,387,2900,5026,2396,3256,4760,0,47885,98745,64715,24383,78393,2118,16205,2492,23920,7000,10081,11150,19654,7032,26972,13881,12006,16041,7761,7202,3168,1199,508,468,23714,4972,387,2899,5028,2399,3258,4760,0,0,-11,-4,-11,1,-22,6,1,-8,-3,0,-8,11,4,-8,4,-6,-1,10,-4,1,1,-1,-2,-4,0,0,-1,2,3,2,0,0
PUMA,3416,53427,109845,62209,32177,110372,3515,18911,2625,6599,6668,6895,7505,32359,3184,30984,19259,12002,17672,8002,9723,4786,1024,218,222,35894,5294,252,769,2523,1135,3203,4119,16,53427,109821,62219,32192,110385,3521,18888,2631,6588,6667,6890,7507,32363,3183,30986,19258,11993,17673,7994,9728,4792,1026,221,218,35912,5295,252,768,2525,1135,3202,4120,0,0,-24,10,15,13,6,-23,6,-11,-1,-5,2,4,-1,2,-1,-9,1,-8,5,6,2,3,-4,18,1,0,-1,2,0,-1,1,-16
PUMA,3417,41140,94961,63354,26644,50156,7489,18981,2839,42140,5860,8559,11423,15298,6906,25703,8531,8781,10994,7221,6896,4147,1830,1271,547,23144,8436,530,2272,1588,1591,1032,2000,0,41140,94999,63355,26632,50192,7494,18975,2839,42131,5858,8561,11422,15299,6905,25703,8532,8792,11004,7221,6889,4140,1827,1267,547,23148,8433,530,2272,1588,1592,1032,1998,0,0,38,1,-12,36,5,-6,0,-9,-2,2,-1,1,-1,0,1,11,10,0,-7,-7,-3,-4,0,4,-3,0,0,0,1,0,-2,0
PUMA,3418,40423,86732,58271,21167,61965,4011,22483,3162,16278,4849,8663,11264,15647,6348,24703,9372,9609,12483,6942,6906,2900,1089,494,87,21169,6420,364,4005,3111,1432,1586,2249,0,40423,86744,58282,21178,61979,4007,22507,3159,16270,4843,8662,11263,15655,6346,24706,9371,9610,12481,6940,6902,2901,1091,498,87,21177,6421,364,4001,3110,1431,1584,2248,0,0,12,11,11,14,-4,24,-3,-8,-6,-1,-1,8,-2,3,-1,1,-2,-2,-4,1,2,4,0,8,1,0,-4,-1,-1,-2,-1,0
PUMA,3419,48826,98253,63767,24898,82176,3810,11962,2434,22769,8340,10932,11471,18083,7466,27600,13760,13480,15090,8283,7481,3023,1025,444,1266,24636,2684,377,1564,4750,3583,4503,5430,33,48826,98294,63782,24913,82212,3811,11987,2433,22764,8333,10932,11467,18094,7481,27588,13757,13498,15091,8279,7470,3026,1025,437,1259,24645,2686,377,1560,4746,3586,4510,5427,30,0,41,15,15,36,1,25,-1,-5,-7,0,-4,11,15,-12,-3,18,1,-4,-11,3,0,-7,-7,9,2,0,-4,-4,3,7,-3,-3
PUMA,3420,76120,159675,99528,34648,132281,4520,25480,5063,26979,13681,15431,16579,30429,9413,43496,23211,20503,23785,12559,11683,5250,1462,878,681,45395,4786,2000,2399,6371,3894,5049,5535,10,76120,159677,99528,34645,132279,4519,25491,5047,26986,13686,15431,16574,30429,9411,43501,23208,20504,23797,12560,11674,5248,1463,874,677,45402,4788,2001,2402,6369,3894,5052,5535,0,0,2,0,-3,-2,-1,11,-16,7,5,0,-5,0,-2,5,-3,1,12,1,-9,-2,1,-4,-4,7,2,1,3,-2,0,3,0,-10
PUMA,3421,66697,138766,81793,33276,94407,18698,32272,6851,19814,13263,12910,13853,26671,9648,36191,20858,18895,20106,10374,9672,4817,1675,1158,164,32908,3693,3012,4076,4609,3576,7151,7508,0,66697,138736,81792,33251,94350,18713,32266,6852,19806,13266,12908,13857,26666,9644,36198,20855,18902,20107,10373,9663,4821,1676,1155,159,32910,3694,3014,4076,4612,3578,7148,7506,0,0,-30,-1,-25,-57,15,-6,1,-8,3,-2,4,-5,-4,7,-3,7,1,-1,-9,4,1,-3,-5,2,1,2,0,3,2,-3,-2,0
PUMA,3422,44689,95859,59067,22976,68377,2984,5528,1387,40559,11176,11598,10629,11286,7170,26232,11287,12226,12535,7219,7082,3620,1206,801,48,23782,841,2220,2840,5954,2831,2345,3827,1,44689,95874,59088,22988,68361,2979,5515,1381,40626,11174,11596,10626,11293,7164,26238,11287,12222,12530,7227,7075,3622,1206,807,45,23776,843,2222,2843,5955,2833,2346,3826,0,0,15,21,12,-16,-5,-13,-6,67,-2,-2,-3,7,-6,6,0,-4,-5,8,-7,2,0,6,-3,-6,2,2,3,1,2,1,-1,-1
PUMA,3501,77253,126068,86881,18984,74357,27581,14606,5125,23383,24655,19392,14940,18266,25769,38427,13057,37186,25324,6696,5000,1935,669,443,142,4325,996,2642,6129,15532,6989,14429,26069,0,77253,126079,86873,18986,74352,27600,14605,5127,23381,24659,19388,14941,18265,25762,38429,13062,37193,25327,6694,4998,1931,665,445,141,4325,996,2645,6125,15535,6991,14429,26066,0,0,11,-8,2,-5,19,-1,2,-2,4,-4,1,-1,-7,2,5,7,3,-2,-2,-4,-4,2,-1,0,0,3,-4,3,2,0,-3,0
PUMA,3502,82182,136549,108890,19000,122066,6473,10776,4436,11798,11254,13277,16469,41182,40503,31223,10456,36590,28983,8383,6033,1696,355,142,167,6909,4809,3600,11446,10783,5249,11383,27836,0,82182,136533,108891,18987,122054,6468,10767,4436,11795,11254,13278,16471,41179,40509,31219,10454,36580,28987,8386,6035,1698,354,142,164,6910,4810,3602,11447,10785,5250,11384,27830,0,0,-16,1,-13,-12,-5,-9,0,-3,0,1,2,-3,6,-4,-2,-10,4,3,2,2,-1,0,-3,1,1,2,1,2,1,1,-6,0
