geography,id,num_hh_control,adults_control,workers_control,children_control,whitenh_control,blacknh_control,asiannh_control,othernh_control,hispanic_control,hh_inc_1_control,hh_inc_2_control,hh_inc_3_control,hh_inc_4_control,hh_under_35_control,hh_35_64_control,hh_65_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_control,hh_size_5_control,hh_size_6_control,hh_size_7_control,bldg_type_1_control,bldg_type_2_control,bldg_type_3_control,bldg_type_4_control,bldg_type_5_control,bldg_type_6_control,bldg_type_7_control,bldg_type_8_control,bldg_type_9_control,bldg_type_10_control,num_hh_result,adults_result,workers_result,children_result,whitenh_result,blacknh_result,asiannh_result,othernh_result,hispanic_result,hh_inc_1_result,hh_inc_2_result,hh_inc_3_result,hh_inc_4_result,hh_under_35_result,hh_35_64_result,hh_65_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_result,hh_size_5_result,hh_size_6_result,hh_size_7_result,bldg_type_1_result,bldg_type_2_result,bldg_type_3_result,bldg_type_4_result,bldg_type_5_result,bldg_type_6_result,bldg_type_7_result,bldg_type_8_result,bldg_type_9_result,bldg_type_10_result,num_hh_diff,adults_diff,workers_diff,children_diff,whitenh_diff,blacknh_diff,asiannh_diff,othernh_diff,hispanic_diff,hh_inc_1_diff,hh_inc_2_diff,hh_inc_3_diff,hh_inc_4_diff,hh_under_35_diff,hh_35_64_diff,hh_65_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_diff,hh_size_5_diff,hh_size_6_diff,hh_size_7_diff,bldg_type_1_diff,bldg_type_2_diff,bldg_type_3_diff,bldg_type_4_diff,bldg_type_5_diff,bldg_type_6_diff,bldg_type_7_diff,bldg_type_8_diff,bldg_type_9_diff,bldg_type_10_diff
PUMA,101,36286,74269,38556,22284,27306,23571,635,1429,43612,13172,10673,8118,4323,6990,21027,8269,11155,9614,5549,4490,3099,1362,1017,359,24299,1645,3442,1982,2209,778,481,1091,0,36286,74259,38555,22289,27302,23577,637,1435,43597,13173,10674,8116,4323,6989,21026,8271,11154,9613,5548,4490,3100,1362,1019,359,24298,1644,3443,1984,2209,778,481,1090,0,0,-10,-1,5,-4,6,2,6,-15,1,1,-2,0,-1,-1,2,-1,-1,-1,0,1,0,2,0,-1,-1,1,2,0,0,0,-1,0
PUMA,102,47053,89234,43783,24277,33403,62915,620,2659,13914,19099,13720,8464,5770,8387,25329,13337,16036,13997,7268,5342,2146,1133,1131,1093,34226,2195,1239,1263,2334,2067,1251,1378,7,47053,89215,43790,24273,33392,62889,626,2663,13918,19097,13717,8464,5775,8388,25326,13339,16022,13994,7269,5350,2148,1134,1136,1091,34235,2196,1238,1263,2336,2066,1251,1377,0,0,-19,7,-4,-11,-26,6,4,4,-2,-3,0,5,1,-3,2,-14,-3,1,8,2,1,5,-2,9,1,-1,0,2,-1,0,-1,-7
PUMA,103,56641,112168,68400,27681,89875,20533,3320,4195,21926,10778,14650,14593,16620,8869,32234,15538,16395,18244,9027,7802,3440,1122,611,501,41766,4911,619,1656,2493,2296,1429,962,8,56641,112111,68396,27673,89853,20520,3323,4196,21892,10777,14651,14593,16620,8871,32235,15535,16382,18239,9034,7808,3443,1126,609,500,41767,4912,619,1655,2495,2296,1429,962,6,0,-57,-4,-8,-22,-13,3,1,-34,-1,1,0,0,2,1,-3,-13,-5,7,6,3,4,-2,-1,1,1,0,-1,2,0,0,0,-2
PUMA,104,49057,102120,62794,26374,108229,4585,1995,1900,11785,6963,10878,12957,18259,6694,28757,13606,11194,17085,7773,7839,3457,1190,519,513,38027,5049,751,842,1031,1363,834,633,14,49057,102114,62805,26360,108224,4568,1989,1897,11796,6959,10875,12965,18258,6691,28756,13610,11183,17085,7777,7848,3460,1191,513,514,38052,5046,752,840,1031,1362,831,629,0,0,-6,11,-14,-5,-17,-6,-3,11,-4,-3,8,-1,-3,-1,4,-11,0,4,9,3,1,-6,1,25,-3,1,-2,0,-1,-3,-4,-14
PUMA,200,66112,134255,78540,33169,139445,5666,2245,3322,16746,12488,15370,16531,21723,10952,38757,16403,16283,23411,10744,9393,4307,1330,644,2841,48981,4019,1642,2080,3168,2279,584,499,19,66112,134181,78534,33132,139354,5645,2238,3313,16763,12490,15371,16532,21719,10951,38754,16407,16265,23412,10746,9400,4315,1331,643,2845,49004,4023,1642,2080,3168,2276,578,496,0,0,-74,-6,-37,-91,-21,-7,-9,17,2,1,1,-4,-1,-3,4,-18,1,2,7,8,1,-1,4,23,4,0,0,0,-3,-6,-3,-19
PUMA,300,43226,82023,47100,21144,83358,9726,590,2774,6719,11782,11891,10579,8974,7630,22934,12662,12885,15250,6514,4751,2473,927,426,1661,33522,1217,1488,1343,1105,1213,1332,345,0,43226,82045,47114,21135,83392,9719,587,2764,6718,11780,11889,10588,8969,7629,22934,12663,12885,15252,6514,4754,2474,924,423,1657,33541,1217,1482,1342,1105,1211,1329,342,0,0,22,14,-9,34,-7,-3,-10,-1,-2,-2,9,-5,-1,0,1,0,2,0,3,1,-3,-3,-4,19,0,-6,-1,0,-2,-3,-3,0
PUMA,2300,40026,82090,48497,22092,74905,15612,900,1794,10971,10012,10387,9651,9976,7196,21951,10879,10372,13201,5985,5592,3014,1386,476,2389,28937,1702,1309,1683,1894,655,378,1077,2,40026,82077,48501,22097,74875,15626,901,1808,10964,10010,10390,9644,9982,7188,21962,10876,10365,13204,5984,5592,3019,1382,480,2392,28944,1704,1309,1684,1891,656,376,1070,0,0,-13,4,5,-30,14,1,14,-7,-2,3,-7,6,-8,11,-3,-7,3,-1,0,5,-4,4,3,7,2,0,1,-3,1,-2,-7,-2
PUMA,2400,44748,84022,49830,20393,90223,1665,748,1650,10129,11140,12029,11133,10446,7873,23993,12882,13891,16194,5982,5243,2368,531,539,1252,35883,1141,1644,1731,1161,718,355,863,0,44748,83997,49825,20335,90185,1658,734,1633,10122,11135,12030,11136,10447,7877,23987,12884,13884,16197,5988,5243,2374,528,534,1255,35890,1142,1644,1730,1161,716,350,860,0,0,-25,-5,-58,-38,-7,-14,-17,-7,-5,1,3,1,4,-6,2,-7,3,6,0,6,-3,-5,3,7,1,0,-1,0,-2,-5,-3,0
PUMA,2601,38293,78399,49503,19534,76233,6802,2179,1977,10742,9483,8679,9571,10560,10949,19456,7888,9964,12238,6779,5455,2505,957,395,827,22565,3762,1124,1814,3363,2140,1212,1480,6,38293,78408,49499,19541,76264,6803,2174,1978,10730,9485,8675,9571,10562,10949,19459,7885,9971,12239,6774,5455,2502,960,392,826,22577,3762,1123,1815,3364,2140,1210,1475,1,0,9,-4,7,31,1,-5,1,-12,2,-4,0,2,0,3,-3,7,1,-5,0,-3,3,-3,-1,12,0,-1,1,1,0,-2,-5,-5
PUMA,2700,7769,15208,9579,4160,14574,371,60,328,4035,1775,2284,2009,1701,1481,4261,2027,2372,2488,990,1021,602,194,102,409,5666,225,344,292,468,127,135,103,0,7769,15198,9576,4161,14574,370,56,322,4037,1771,2284,2013,1701,1485,4258,2026,2371,2490,988,1022,603,194,101,410,5668,223,343,292,470,127,134,102,0,0,-10,-3,1,0,-1,-4,-6,2,-4,0,4,0,4,-3,-1,-1,2,-2,1,1,0,-1,1,2,-2,-1,0,2,0,-1,-1,0
PUMA,2801,84938,158157,89852,42699,124782,32550,5734,6565,31225,26752,23407,18942,15837,16560,44924,23454,28146,27374,12485,9328,4439,2031,1135,861,57791,3731,5856,5212,3622,2330,1773,3731,31,84938,158121,89851,42677,124787,32543,5716,6551,31201,26746,23408,18945,15839,16559,44929,23450,28145,27373,12483,9333,4443,2030,1131,860,57795,3734,5854,5213,3625,2329,1773,3727,28,0,-36,-1,-22,5,-7,-18,-14,-24,-6,1,3,2,-1,5,-4,-1,-1,-2,5,4,-1,-4,-1,4,3,-2,1,3,-1,0,-4,-3
PUMA,2901,48442,101575,63756,27302,104814,3082,2228,2746,16007,8577,11781,12509,15575,7217,28908,12317,10267,17509,7982,6994,3722,1259,709,1843,39073,2169,952,2332,960,441,199,473,0,48442,101541,63751,27284,104770,3072,2232,2755,15996,8574,11785,12506,15577,7221,28901,12320,10269,17511,7983,6995,3720,1261,703,1844,39077,2170,952,2333,960,440,197,469,0,0,-34,-5,-18,-44,-10,4,9,-11,-3,4,-3,2,4,-7,3,2,2,1,1,-2,2,-6,1,4,1,0,1,0,-1,-2,-4,0
PUMA,3005,48088,108862,69894,35998,40496,13793,3504,2541,84526,11036,14565,11867,10620,9091,28951,10046,11210,11560,7768,8071,5333,2219,1927,522,30928,3258,3524,2259,2153,1579,1587,2278,0,48088,108851,69911,35986,40482,13809,3512,2544,84490,11033,14562,11864,10629,9094,28945,10049,11208,11559,7768,8070,5333,2218,1932,521,30927,3259,3524,2263,2154,1576,1587,2277,0,0,-11,17,-12,-14,16,8,3,-36,-3,-3,-3,9,3,-6,3,-2,-1,0,-1,0,-1,5,-1,-1,1,0,4,1,-3,0,-1,0
PUMA,3007,43050,91357,60862,23932,94147,2443,4085,2258,12356,4915,6813,9683,21639,5692,27009,10349,9151,14626,7375,6896,3546,1060,396,58,30731,4820,1095,1622,1353,1140,688,1543,0,43050,91389,60856,23929,94186,2445,4087,2262,12338,4911,6815,9682,21642,5688,27011,10351,9148,14624,7381,6888,3545,1063,401,56,30734,4818,1095,1622,1352,1139,688,1546,0,0,32,-6,-3,39,2,2,4,-18,-4,2,-1,3,-4,2,2,-3,-2,6,-8,-1,3,5,-2,3,-2,0,0,-1,-1,0,3,0
PUMA,3008,46934,105630,69083,32627,61579,8334,7521,2392,58431,8835,11396,11612,15091,8156,29491,9287,10364,13144,7328,7519,4600,2474,1505,466,29830,5663,2233,2194,2600,1976,1045,897,30,46934,105627,69062,32628,61563,8326,7538,2397,58431,8829,11400,11612,15093,8160,29487,9287,10363,13143,7331,7518,4601,2474,1504,463,29837,5662,2231,2196,2601,1976,1045,897,26,0,-3,-21,1,-16,-8,17,5,0,-6,4,0,2,4,-4,0,-1,-1,3,-1,1,0,-1,-3,7,-1,-2,2,1,0,0,0,-4
PUMA,3009,45814,98624,61338,27968,103078,2679,6130,2032,12673,4756,7029,8870,25159,4669,28448,12697,8285,16775,7088,7870,4037,1071,688,0,37183,6406,328,389,466,74,506,462,0,45814,98589,61337,27962,103044,2668,6133,2032,12674,4757,7025,8868,25164,4667,28453,12694,8283,16770,7087,7873,4040,1074,687,0,37197,6403,327,389,464,71,504,459,0,0,-35,-1,-6,-34,-11,3,0,1,1,-4,-2,5,-2,5,-3,-2,-5,-1,3,3,3,-1,0,14,-3,-1,0,-2,-3,-2,-3,0
PUMA,3102,47179,101540,62735,29942,59899,24095,1600,3002,42886,11680,11798,11968,11733,8315,27791,11073,12479,12841,7264,7091,4281,1854,1369,525,32637,3554,2617,1615,1510,1976,711,2028,6,47179,101471,62742,29931,59858,24073,1588,3017,42866,11678,11798,11969,11734,8316,27794,11069,12455,12827,7265,7104,4290,1861,1377,524,32644,3556,2618,1615,1511,1973,711,2027,0,0,-69,7,-11,-41,-22,-12,15,-20,-2,0,1,1,1,3,-4,-24,-14,1,13,9,7,8,-1,7,2,1,0,1,-3,0,-1,-6
PUMA,3105,45628,106863,70640,31117,86106,12786,5674,3128,30286,6094,9033,12250,18251,6735,28602,10291,9128,11939,7906,8263,4949,1861,1582,62,33371,7865,543,997,998,573,510,709,0,45628,106816,70638,31113,86075,12777,5675,3129,30273,6095,9032,12251,18250,6732,28605,10291,9116,11933,7905,8269,4954,1865,1586,61,33377,7863,542,997,997,573,509,709,0,0,-47,-2,-4,-31,-9,1,1,-13,1,-1,1,-1,-3,3,0,-12,-6,-1,6,5,4,4,-1,6,-2,-1,0,-1,0,-1,0,0
PUMA,3106,54732,132327,90760,41538,92767,18933,26482,6077,29606,4806,8033,11428,30465,6777,39290,8665,7591,13843,10429,12734,6426,2591,1118,51,42887,7923,230,371,666,1242,526,810,26,54732,132291,90766,41520,92749,18932,26480,6074,29576,4805,8032,11427,30468,6776,39290,8666,7578,13828,10436,12745,6430,2594,1121,50,42893,7923,229,371,665,1242,527,808,24,0,-36,6,-18,-18,-1,-2,-3,-30,-1,-1,-1,3,-1,0,1,-13,-15,7,11,4,3,3,-1,6,0,-1,0,-1,0,1,-2,-2
PUMA,3107,43359,99701,66321,27703,111434,2812,2845,2057,8256,3468,6453,9542,23896,4162,28872,10325,7092,14396,7001,7892,4513,1577,888,474,34973,5465,160,701,376,588,145,477,0,43359,99680,66313,27722,111436,2808,2841,2060,8257,3469,6456,9545,23889,4160,28874,10325,7090,14394,7002,7894,4512,1576,891,471,34977,5467,160,701,376,588,145,474,0,0,-21,-8,19,2,-4,-4,3,1,1,3,3,-7,-2,2,0,-2,-2,1,2,-1,-1,3,-3,4,2,0,0,0,0,0,-3,0
PUMA,3108,42460,89548,54698,21733,85505,15173,718,1932,7953,6456,9349,11061,15594,5925,25474,11061,9898,14612,6878,6427,2950,1202,493,1566,33202,3223,590,924,878,823,374,867,13,42460,89461,54707,21691,85461,15156,692,1908,7935,6458,9349,11057,15596,5927,25464,11069,9884,14605,6879,6432,2961,1204,495,1564,33245,3220,588,920,873,816,366,863,5,0,-87,9,-42,-44,-17,-26,-24,-18,2,0,-4,2,2,-10,8,-14,-7,1,5,11,2,2,-2,43,-3,-2,-4,-5,-7,-8,-4,-8
PUMA,3202,43345,88585,57538,25216,86640,5328,10275,3362,8196,5487,7834,8297,21727,7412,24635,11298,10054,15101,6706,6448,3453,1093,490,17,26605,4458,160,1553,2619,2631,2004,3277,21,43345,88499,57546,25190,86546,5324,10266,3343,8210,5488,7830,8292,21735,7410,24638,11297,10043,15086,6706,6462,3462,1093,493,13,26614,4460,160,1550,2618,2631,2004,3279,16,0,-86,8,-26,-94,-4,-9,-19,14,1,-4,-5,8,-2,3,-1,-11,-15,0,14,9,0,3,-4,9,2,0,-3,-1,0,0,2,-5
PUMA,3203,47533,93555,62246,22851,83896,5585,14279,2888,9758,6233,7670,9891,23739,8506,28093,10934,13364,16014,6950,7262,2982,716,245,50,28224,3775,416,1364,4198,3216,2174,4097,19,47533,93516,62258,22828,83866,5581,14259,2892,9746,6236,7667,9892,23738,8510,28092,10931,13350,16016,6951,7269,2984,716,247,47,28225,3776,417,1364,4201,3217,2173,4098,15,0,-39,12,-23,-30,-4,-20,4,-12,3,-3,1,-1,4,-1,-3,-14,2,1,7,2,0,2,-3,1,1,1,0,3,1,-1,1,-4
PUMA,3204,58476,116826,72361,29100,110154,6432,15784,2940,10616,8630,10605,10822,28419,7101,34636,16739,15919,19241,8976,9439,3444,965,492,44,37478,4579,536,1773,4039,3674,3742,2571,40,58476,116792,72366,29120,110148,6432,15782,2924,10626,8628,10610,10824,28414,7099,34641,16736,15905,19238,8977,9448,3443,968,497,39,37492,4580,535,1772,4042,3673,3740,2569,34,0,-34,5,20,-6,0,-2,-16,10,-2,5,2,-5,-2,5,-3,-14,-3,1,9,-1,3,5,-5,14,1,-1,-1,3,-1,-2,-2,-6
PUMA,3205,48865,98228,61576,24297,88568,5152,12726,3329,12750,7268,9238,10607,21752,7343,26911,14611,13850,15739,7580,6673,3337,1145,541,44,30749,4104,653,799,2067,1700,2500,6249,0,48865,98199,61557,24286,88548,5146,12693,3323,12775,7270,9241,10612,21742,7338,26916,14611,13853,15739,7580,6676,3335,1144,538,40,30755,4105,653,799,2065,1700,2501,6247,0,0,-29,-19,-11,-20,-6,-33,-6,25,2,3,5,-10,-5,5,0,3,0,0,3,-2,-1,-3,-4,6,1,0,0,-2,0,1,-2,0
PUMA,3207,42479,93283,62247,22154,69393,3201,8115,1773,32955,7139,9182,9999,16159,6804,24644,11031,9645,13041,7395,7467,3195,1024,712,243,26177,3827,619,1758,2759,2509,2031,2519,37,42479,93244,62233,22157,69392,3208,8108,1774,32919,7142,9183,9998,16156,6805,24648,11026,9644,13039,7394,7471,3198,1022,711,241,26204,3832,618,1762,2762,2509,2032,2519,0,0,-39,-14,3,-1,7,-7,1,-36,3,1,-1,-3,1,4,-5,-1,-2,-1,4,3,-2,-1,-2,27,5,-1,4,3,0,1,0,-37
PUMA,3208,59574,136312,93053,34294,95791,7837,26153,3847,36978,7250,11394,14135,26795,9189,37681,12704,11598,18829,10667,9536,5168,2247,1529,239,37037,10518,421,1502,2966,3813,1417,1656,5,59574,136306,93041,34299,95766,7829,26177,3834,36999,7249,11393,14132,26800,9182,37683,12709,11605,18832,10661,9534,5169,2246,1527,237,37048,10515,420,1504,2966,3811,1416,1657,0,0,-6,-12,5,-25,-8,24,-13,21,-1,-1,-3,5,-7,2,5,7,3,-6,-2,1,-1,-2,-2,11,-3,-1,2,0,-2,-1,1,-5
PUMA,3209,45230,94391,65684,26727,70727,8635,20258,2855,18643,4584,7937,10538,22171,8918,29224,7088,10421,13607,8545,7875,3215,1075,492,20,21697,10282,269,1808,3887,4028,1323,1895,21,45230,94329,65675,26725,70698,8633,20244,2867,18612,4586,7940,10540,22164,8921,29222,7087,10419,13599,8546,7881,3217,1078,490,15,21696,10289,269,1808,3886,4029,1323,1897,18,0,-62,-9,-2,-29,-2,-14,12,-31,2,3,2,-7,3,-2,-1,-2,-8,1,6,2,3,-2,-5,-1,7,0,0,-1,1,0,2,-3
PUMA,3306,56594,120394,80042,33426,106209,5430,5248,3699,33234,8114,11773,14364,22343,8518,35876,12200,12604,17992,9730,9187,4551,1776,754,796,41166,7290,489,1103,1608,2199,675,1256,12,56594,120390,80046,33428,106201,5429,5237,3690,33261,8111,11769,14368,22346,8522,35873,12199,12606,17992,9736,9184,4550,1776,750,795,41174,7290,489,1102,1607,2198,675,1256,8,0,-4,4,2,-8,-1,-11,-9,27,-3,-4,4,3,4,-3,-1,2,0,6,-3,-1,0,-4,-1,8,0,0,-1,-1,-1,0,0,-4
PUMA,3307,47345,100650,63897,32420,37281,24379,3934,4440,63036,13294,13687,10755,9609,9786,28296,9263,12243,12282,7962,7033,4971,1571,1283,1244,28896,1642,3590,2053,2483,3252,1804,2373,8,47345,100670,63905,32410,37287,24394,3960,4433,63006,13298,13684,10749,9614,9783,28294,9268,12241,12285,7958,7034,4971,1571,1285,1241,28904,1643,3588,2053,2487,3254,1803,2372,0,0,20,8,-10,6,15,26,-7,-30,4,-3,-6,5,-3,-2,5,-2,3,-4,1,0,0,2,-3,8,1,-2,0,4,2,-1,-1,-8
PUMA,3308,42447,91584,59280,22691,88425,1542,8936,1961,13411,4228,6232,7941,24046,4354,26947,11146,7842,15476,7358,7200,3322,976,273,1021,34230,3756,352,762,687,458,279,875,27,42447,91539,59282,22695,88398,1537,8919,1967,13413,4226,6232,7939,24050,4354,26947,11146,7835,15467,7357,7206,3327,979,276,1021,34237,3756,352,761,687,457,278,874,24,0,-45,2,4,-27,-5,-17,6,2,-2,0,-2,4,0,0,0,-7,-9,-1,6,5,3,3,0,7,0,0,-1,0,-1,-1,-1,-3
PUMA,3309,52438,108263,70468,30086,84865,9009,15270,3725,25480,6919,9393,11401,24725,9021,31839,11578,12644,16439,8904,8786,3980,1149,536,940,31478,6899,824,1667,2590,3228,2132,2680,0,52438,108253,70485,30101,84844,8990,15268,3728,25524,6915,9386,11414,24723,9013,31846,11579,12648,16441,8899,8785,3982,1151,532,937,31481,6900,822,1666,2592,3229,2132,2679,0,0,-10,17,15,-21,-19,-2,3,44,-4,-7,13,-2,-8,7,1,4,2,-5,-1,2,2,-4,-3,3,1,-2,-1,2,1,0,-1,0
