hh_id,TAZ,balanced_weight,integer_weight,PUMA,REGION
9,3632,0.40505460217669553,1,50000,1
193,3632,0.4364123344630446,0,50000,1
268,3632,0.2627461862039853,0,50000,1
434,3632,0.053391522343618714,0,50000,1
467,3632,0.19678132658790937,0,50000,1
642,3632,0.11021568957502954,0,50000,1
812,3632,0.2362435487156324,0,50000,1
924,3632,0.10756436000292788,0,50000,1
1058,3632,0.6693332439747522,1,50000,1
1304,3632,0.004969092720486259,0,50000,1
1955,3632,0.005471702840122124,0,50000,1
2230,3632,0.025096343436500995,0,50000,1
2347,3632,0.01133196478612736,0,50000,1
2386,3632,0.25109234665356445,0,50000,1
2575,3632,0.6709000186282464,1,50000,1
2580,3632,1.7544324584121678,2,50000,1
2687,3632,0.14499031202027804,0,50000,1
2753,3632,0.3934596470935717,1,50000,1
2791,3632,1.593032253985555,2,50000,1
2952,3632,0.46692712232378353,1,50000,1
3021,3632,2.748577470636611,3,50000,1
3108,3632,1.2843866161325652,1,50000,1
3197,3632,0.3223094268086089,0,50000,1
3209,3632,0.1916019151639111,0,50000,1
3326,3632,0.2307857899828924,0,50000,1
3366,3632,1.1169648165885708,1,50000,1
3472,3632,0.790448514022142,1,50000,1
3517,3632,1.1440485462464607,1,50000,1
3578,3632,1.4858322767705352,2,50000,1
3649,3632,10.291582347587022,10,50000,1
3677,3632,1.128751037057156,1,50000,1
3719,3632,0.10547262622139866,0,50000,1
3767,3632,2.6480522179527664,3,50000,1
3906,3632,1.2659595304727846,1,50000,1
3947,3632,0.26104539946488237,0,50000,1
4038,3632,1.6207288593909992,2,50000,1
4104,3632,2.7832571415268657,3,50000,1
4165,3632,0.5601939489889979,0,50000,1
4232,3632,4.636597691544104,5,50000,1
4300,3632,1.2300791321321574,1,50000,1
4357,3632,0.12598951687459115,0,50000,1
4418,3632,2.0916490542508903,2,50000,1
4492,3632,11.702049261014729,12,50000,1
4530,3632,1.5623714774921889,2,50000,1
4590,3632,1.2245635337072152,1,50000,1
4643,3632,1.363158189330718,2,50000,1
4697,3632,0.5852115364401292,0,50000,1
4816,3632,1.1969789886491347,1,50000,1
4862,3632,1.4686948548773904,2,50000,1
4911,3632,0.7016408224187393,1,50000,1
4983,3632,3.157947336089389,3,50000,1
5014,3632,1.572514994362602,2,50000,1
5036,3632,1.0908348516582658,1,50000,1
5059,3632,0.5055097627429826,1,50000,1
5082,3632,1.5824521316029945,2,50000,1
5111,3632,1.8568239396389183,2,50000,1
5145,3632,0.08453526899629978,0,50000,1
5187,3632,0.6687880935088439,1,50000,1
5479,3632,0.13706664782720898,0,50000,1
5500,3632,0.4852165110983138,1,50000,1
5882,3632,0.12437897923225744,0,50000,1
